Item,Condition,Sentence,Target,score,tscore,tok_scores
1,dative,Laura dio flores a Rafael en el parque de las afueras de la ciudad.,Rafael,5.097100257873535,9.694825172424316,"[('Laura', 8.71015739440918), ('dio', 9.954228401184082), ('flores', 7.91734504699707), ('a', 7.660101413726807), ('Rafael', 9.694825172424316), ('en', 5.3503522872924805), ('el', 3.2531299591064453), ('parque', 9.076353073120117), ('de', 0.5951786041259766), ('las', 3.3029985427856445), ('afueras', 22.456283569335938), ('de', 0.500798225402832), ('la', 0.48041820526123047), ('ciudad', 6.553051471710205), ('.', 1.3396825790405273)]"
1,dative_doubled,Laura le dio flores a Rafael en el parque de las afueras de la ciudad.,Rafael,5.206653118133545,9.9491605758667,"[('Laura', 8.263124465942383), ('le', 6.6462531089782715), ('dio', 10.730739116668701), ('flores', 8.211198806762695), ('a', 7.535001754760742), ('Rafael', 9.9491605758667), ('en', 5.144352436065674), ('el', 3.297112464904785), ('parque', 8.920656204223633), ('de', 0.572148323059082), ('las', 3.3916683197021484), ('afueras', 22.56434965133667), ('de', 0.4759178161621094), ('la', 0.42278194427490234), ('ciudad', 6.6734418869018555), ('.', 1.3351564407348633)]"
1,accusative,Laura encontró a Rafael en el parque de las afueras de la ciudad.,Rafael,5.169158458709717,11.187554359436035,"[('Laura', 10.438821792602539), ('encontró', 16.004738807678223), ('a', 7.751362323760986), ('Rafael', 11.187554359436035), ('en', 4.715506553649902), ('el', 3.899785041809082), ('parque', 8.55958366394043), ('de', 0.5175580978393555), ('las', 3.373525619506836), ('afueras', 23.359059810638428), ('de', 0.4118213653564453), ('la', 0.39641761779785156), ('ciudad', 6.485198974609375), ('.', 1.1130809783935547)]"
1,accusative_doubled,Laura lo encontró a Rafael en el parque de las afueras de la ciudad.,Rafael,5.2635369300842285,11.154759407043457,"[('Laura', 9.882904052734375), ('lo', 6.866217613220215), ('encontró', 16.640697479248047), ('a', 7.7390899658203125), ('Rafael', 11.154759407043457), ('en', 4.7730913162231445), ('el', 3.8859071731567383), ('parque', 8.511151313781738), ('de', 0.5179252624511719), ('las', 3.310678482055664), ('afueras', 23.50365924835205), ('de', 0.4122629165649414), ('la', 0.38565826416015625), ('ciudad', 6.531085014343262), ('.', 1.1556434631347656)]"
2,dative,Pablo ofreció su bicicleta a Julia en la plaza en la tarde del lunes.,Julia,6.449812412261963,11.303558349609375,"[('Pablo', 8.505230903625488), ('ofreció', 25.10811996459961), ('su', 7.395148277282715), ('bicicleta', 22.620578289031982), ('a', 7.4287261962890625), ('Julia', 11.303558349609375), ('en', 5.6326985359191895), ('la', 3.6147356033325195), ('plaza', 8.444535255432129), ('en', 5.429458141326904), ('la', 3.2463512420654297), ('tarde', 14.90493631362915), ('del', 3.3848366737365723), ('lunes', 14.088027000427246), ('.', 0.7889194488525391)]"
2,dative_doubled,Pablo le ofreció su bicicleta a Julia en la plaza en la tarde del lunes.,Julia,6.279695510864258,11.123529434204102,"[('Pablo', 6.677259922027588), ('le', 5.8925065994262695), ('ofreció', 24.409921169281006), ('su', 7.493735313415527), ('bicicleta', 22.43839454650879), ('a', 7.435520172119141), ('Julia', 11.123529434204102), ('en', 5.510512351989746), ('la', 3.4839792251586914), ('plaza', 8.515804290771484), ('en', 5.409875392913818), ('la', 3.1076040267944336), ('tarde', 14.78374719619751), ('del', 3.5239405632019043), ('lunes', 13.830230236053467), ('.', 0.7964296340942383)]"
2,accusative,Pablo saludó a Julia en la plaza en la tarde del lunes.,Julia,5.826651096343994,11.366973876953125,"[('Pablo', 6.007595539093018), ('saludó', 15.516304016113281), ('a', 7.621331691741943), ('Julia', 11.366973876953125), ('en', 5.455151081085205), ('la', 3.39266300201416), ('plaza', 8.478194236755371), ('en', 5.200674533843994), ('la', 2.9792728424072266), ('tarde', 14.611924171447754), ('del', 3.6099443435668945), ('lunes', 14.156354904174805), ('.', 0.6566762924194336)]"
2,accusative_doubled,Pablo la saludó a Julia en la plaza en la tarde del lunes.,Julia,5.6450042724609375,11.376166343688965,"[('Pablo', 6.878690242767334), ('la', 2.829986572265625), ('saludó', 15.97346305847168), ('a', 7.508782386779785), ('Julia', 11.376166343688965), ('en', 5.357139587402344), ('la', 2.91007137298584), ('plaza', 8.174760818481445), ('en', 5.1317362785339355), ('la', 2.507725715637207), ('tarde', 14.640952587127686), ('del', 3.6124558448791504), ('lunes', 14.001299858093262), ('.', 0.7068462371826172)]"
3,dative,Sofía devolvió los libros a José en el colegio por la mañana del martes.,José,5.905026435852051,9.263285636901855,"[('Sofía', 9.958832740783691), ('devolvió', 19.407227993011475), ('los', 7.3953657150268555), ('libros', 18.411407470703125), ('a', 9.527911186218262), ('José', 9.263285636901855), ('en', 6.260540008544922), ('el', 3.9237236976623535), ('colegio', 7.179229736328125), ('por', 7.266324996948242), ('la', 3.7389001846313477), ('mañana', 11.111798763275146), ('del', 3.1367998123168945), ('martes', 11.20427656173706), ('.', 2.12496280670166)]"
3,dative_doubled,Sofía le devolvió los libros a José en el colegio por la mañana del martes,José,6.055772304534912,9.139525413513184,"[('Sofía', 9.273056030273438), ('le', 6.591995716094971), ('devolvió', 20.03955602645874), ('los', 7.535588264465332), ('libros', 17.89364528656006), ('a', 9.380813598632812), ('José', 9.139525413513184), ('en', 6.06992769241333), ('el', 3.7478909492492676), ('colegio', 7.170976638793945), ('por', 7.157362461090088), ('la', 3.529362678527832), ('mañana', 11.266343116760254), ('del', 3.244696617126465), ('martes', 11.1862473487854)]"
